City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,44.08,96,100,28.14,light rain
1,Mogadishu,SO,2.0371,45.3438,75.61,83,40,21.36,light rain
2,Thompson,CA,55.7435,-97.8558,59.16,88,75,8.05,broken clouds
3,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,6.91,light rain
4,Bereda,ES,43.2686,-7.5406,61.57,91,79,6.26,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,75.34,74,83,12.82,broken clouds
6,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,85,31,10.98,scattered clouds
7,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,99,8.01,overcast clouds
8,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,5.75,broken clouds
9,Hammerfest,NO,70.6634,23.6821,64.85,77,75,3.44,broken clouds
10,Bredasdorp,ZA,-34.5322,20.0403,50.79,93,99,5.84,overcast clouds
11,Laguna,US,38.421,-121.4238,95.18,39,0,8.05,clear sky
12,Emba,KZ,48.8264,58.1442,69.04,63,11,5.06,few clouds
13,Albany,US,42.6001,-73.9662,78.4,51,100,9.1,overcast clouds
14,Torbay,CA,47.6666,-52.7314,74.17,80,75,23.02,light intensity shower rain
15,Sitka,US,57.0531,-135.33,58.89,88,100,0.0,overcast clouds
16,Shimoda,JP,34.6667,138.95,77.11,91,65,6.73,broken clouds
17,Mataura,NZ,-46.1927,168.8643,44.47,97,100,7.02,overcast clouds
18,Iqaluit,CA,63.7506,-68.5145,51.53,71,20,6.91,few clouds
19,Kousseri,CM,12.0769,15.0306,79.23,68,75,7.99,light rain
20,Porto Walter,BR,-8.2686,-72.7439,76.84,85,98,2.37,overcast clouds
21,Tuatapere,NZ,-46.1333,167.6833,44.44,95,100,8.23,light rain
22,Tasiilaq,GL,65.6145,-37.6368,41.16,93,100,0.72,overcast clouds
23,Qaanaaq,GL,77.484,-69.3632,44.02,64,23,4.25,few clouds
24,Byron Bay,AU,-28.65,153.6167,49.95,60,0,13.42,clear sky
25,Malakal,SS,9.5334,31.6605,75.04,85,100,3.44,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,37.51,65,0,10.36,clear sky
27,Hermanus,ZA,-34.4187,19.2345,47.8,88,87,6.58,overcast clouds
28,Georgetown,MY,5.4112,100.3354,81.9,91,20,2.3,thunderstorm
29,Orebro,SE,59.2741,15.2066,61.25,45,0,10.36,clear sky
30,Sangmelima,CM,2.9333,11.9833,68.67,98,97,2.35,light rain
31,Hasaki,JP,35.7333,140.8333,79.29,89,98,15.82,overcast clouds
32,Natchitoches,US,31.7668,-93.1335,98.58,41,0,3.44,clear sky
33,Nerchinskiy Zavod,RU,51.3088,119.61,61.63,97,99,3.49,overcast clouds
34,Chokurdakh,RU,70.6333,147.9167,48.02,57,99,12.03,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,38.82,64,20,6.91,few clouds
36,Vaini,TO,-21.2,-175.2,73.74,70,100,12.8,overcast clouds
37,Cape Town,ZA,-33.9258,18.4232,56.12,84,75,3.44,broken clouds
38,Dengzhou,CN,37.8086,120.7508,73.27,92,74,5.46,broken clouds
39,Barrow,US,71.2906,-156.7887,35.62,93,100,17.27,moderate rain
40,Hualmay,PE,-11.0964,-77.6139,65.59,74,82,13.11,broken clouds
41,Ribeira Grande,PT,38.5167,-28.7,75.6,83,20,10.36,few clouds
42,Tateyama,JP,34.9833,139.8667,79.11,94,75,4.61,broken clouds
43,Pevek,RU,69.7008,170.3133,34.47,83,80,6.98,broken clouds
44,Busselton,AU,-33.65,115.3333,48.51,85,0,6.89,clear sky
45,Saryozek,KZ,44.3583,77.9753,68.49,18,35,1.68,scattered clouds
46,Kimbe,PG,-5.5502,150.1429,75.67,90,76,3.65,broken clouds
47,Bengkulu,ID,-3.8004,102.2655,75.36,88,100,3.6,overcast clouds
48,Nikolskoye,RU,59.7035,30.7861,66.09,84,92,5.57,overcast clouds
49,Beringovskiy,RU,63.05,179.3167,48.61,83,100,7.18,overcast clouds
50,Saldanha,ZA,-33.0117,17.9442,55.45,88,15,6.2,few clouds
51,Necochea,AR,-38.5473,-58.7368,52.12,98,100,7.14,overcast clouds
52,Clyde River,CA,70.4692,-68.5914,39.43,100,75,8.05,light rain
53,Alofi,NU,-19.0595,-169.9187,75.09,69,40,9.22,scattered clouds
54,Provideniya,RU,64.3833,-173.3,48.36,71,0,8.99,clear sky
55,Gold Coast,AU,-28.0,153.4333,52.0,77,0,8.05,clear sky
56,Port Alfred,ZA,-33.5906,26.891,65.62,48,16,5.77,few clouds
57,Carnarvon,AU,-24.8667,113.6333,62.2,46,0,9.1,clear sky
58,Qaqortoq,GL,60.7167,-46.0333,46.11,86,35,3.96,scattered clouds
59,Hobart,AU,-42.8794,147.3294,44.46,93,20,9.22,few clouds
60,Hithadhoo,MV,-0.6,73.0833,80.83,75,100,13.58,light rain
61,Bluff,NZ,-46.6,168.3333,44.8,89,100,22.62,overcast clouds
62,Jamestown,US,42.097,-79.2353,79.52,52,100,10.36,overcast clouds
63,Rawson,AR,-43.3002,-65.1023,46.0,93,100,8.43,overcast clouds
64,Kahului,US,20.8947,-156.47,86.02,64,20,20.71,few clouds
65,Avarua,CK,-21.2078,-159.775,73.45,64,75,11.5,broken clouds
66,Ovalle,CL,-30.5983,-71.2003,63.19,55,0,4.85,clear sky
67,Crestview,US,30.7621,-86.5705,92.44,52,40,9.22,thunderstorm
68,Hilo,US,19.7297,-155.09,87.28,96,75,9.22,moderate rain
69,Mar Del Plata,AR,-38.0023,-57.5575,59.09,97,100,8.05,mist
70,Butaritari,KI,3.0707,172.7902,82.18,74,11,19.37,few clouds
71,Ukiah,US,39.1502,-123.2078,100.44,32,0,5.75,clear sky
72,Yelovo,RU,57.0538,54.9207,59.43,72,8,9.37,clear sky
73,Yulara,AU,-25.2406,130.9889,41.63,61,0,9.48,clear sky
74,Broken Hill,AU,-31.95,141.4333,41.49,87,1,5.26,clear sky
