City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-07-26 01:32:46,22.0752,-159.319,84.18,69,40,14.97
1,Barrow,US,2022-07-26 01:32:46,71.2906,-156.7887,37.42,87,100,26.46
2,Luganville,VU,2022-07-26 01:32:46,-15.5333,167.1667,82.42,75,31,6.76
3,Khatanga,RU,2022-07-26 01:32:41,71.9667,102.5,75.36,37,2,6.13
4,Bafra,TR,2022-07-26 01:32:47,41.5678,35.9069,67.82,72,11,5.5
5,Mar Del Plata,AR,2022-07-26 01:31:15,-38.0023,-57.5575,55.09,95,100,17.0
6,Hobart,AU,2022-07-26 01:30:02,-42.8794,147.3294,58.26,84,40,5.75
7,Bendigo,AU,2022-07-26 01:30:03,-36.7667,144.2833,46.63,81,83,5.99
8,Hilo,US,2022-07-26 01:32:47,19.7297,-155.09,88.29,93,75,8.05
9,Tasiilaq,GL,2022-07-26 01:32:47,65.6145,-37.6368,41.16,89,100,2.44
10,Puerto Ayora,EC,2022-07-26 01:32:48,-0.7393,-90.3518,69.55,94,98,5.99
11,Pimenta Bueno,BR,2022-07-26 01:32:48,-11.6725,-61.1936,74.35,41,92,3.71
12,Busselton,AU,2022-07-26 01:32:48,-33.65,115.3333,61.88,80,100,19.62
13,Sitka,US,2022-07-26 01:30:34,57.0531,-135.33,57.09,94,100,0.0
14,Codrington,AU,2022-07-26 01:32:48,-38.2667,141.9667,53.64,62,88,23.62
15,Tokonou,GN,2022-07-26 01:32:49,9.65,-9.7833,66.9,99,79,3.71
16,Sao Gabriel Da Cachoeira,BR,2022-07-26 01:32:49,-0.1303,-67.0892,72.54,99,100,2.1
17,Alpena,US,2022-07-26 01:29:28,45.0617,-83.4327,66.52,77,0,1.01
18,Lorengau,PG,2022-07-26 01:32:49,-2.0226,147.2712,82.85,76,92,8.03
19,Hoi An,VN,2022-07-26 01:30:24,15.8794,108.335,85.96,60,8,3.18
20,Devils Lake,US,2022-07-26 01:32:50,48.1128,-98.8651,76.98,65,0,8.05
21,Thompson,CA,2022-07-26 01:30:42,55.7435,-97.8558,60.96,94,75,3.44
22,Konevo,RU,2022-07-26 01:32:50,62.1215,39.3192,54.39,83,28,3.51
23,Saint Anthony,US,2022-07-26 01:30:42,45.0205,-93.218,73.33,61,0,8.05
